Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
"09/09/2022 10:27",4074.25,4075.5,4074.25,4075,1,+0.02%,2010,N/A
"09/09/2022 10:26",4073.75,4074.25,4072.5,4074,0.5,+0.01%,2025,N/A
"09/09/2022 10:25",4072,4073.75,4071.75,4073.5,1.5,+0.04%,2025,N/A
"09/09/2022 10:24",4070,4072.5,4069,4072,2,+0.05%,1876,N/A
"09/09/2022 10:23",4072,4072.25,4069.75,4070,-1.75,-0.04%,1897,N/A
"09/09/2022 10:22",4070.5,4072.75,4070.25,4071.75,1.5,+0.04%,1961,N/A
"09/09/2022 10:21",4069.25,4070.25,4067.75,4070.25,1,+0.02%,2418,N/A
"09/09/2022 10:20",4070.75,4071.5,4068.75,4069.25,-1.5,-0.04%,3962,N/A
"09/09/2022 10:19",4071.25,4073.5,4070.5,4070.75,-0.25,-0.01%,2068,N/A
"09/09/2022 10:18",4073.5,4073.5,4070.25,4071,-2.5,-0.06%,3590,N/A
"09/09/2022 10:17",4076.75,4077,4073,4073.5,-3.25,-0.08%,3404,N/A
"09/09/2022 10:16",4077.5,4077.75,4075.75,4076.75,-0.5,-0.01%,2382,N/A
"09/09/2022 10:15",4074.25,4077.5,4074.25,4077.25,2.75,+0.07%,2520,N/A
"09/09/2022 10:14",4072.5,4074.75,4072.5,4074.5,2,+0.05%,1831,N/A
"09/09/2022 10:13",4073,4073.25,4071,4072.5,-0.5,-0.01%,1705,N/A
"09/09/2022 10:12",4073.5,4073.75,4071.25,4073,-0.5,-0.01%,2403,N/A
"09/09/2022 10:11",4072.5,4074,4070.5,4073.5,1,+0.02%,3461,N/A
"09/09/2022 10:10",4073.25,4075,4072.5,4072.5,-0.5,-0.01%,2050,N/A
"09/09/2022 10:09",4075,4075.25,4072.75,4073,-1.75,-0.04%,2375,N/A
"09/09/2022 10:08",4077.5,4077.5,4074.5,4074.75,-2.5,-0.06%,1971,N/A
"09/09/2022 10:07",4074.75,4077.5,4073.75,4077.25,2.75,+0.07%,2722,N/A
"09/09/2022 10:06",4076.75,4077.25,4074.5,4074.5,-2.25,-0.06%,2468,N/A
"09/09/2022 10:05",4076.25,4078,4075.75,4076.75,0.75,+0.02%,2686,N/A
"09/09/2022 10:04",4074,4076.25,4072.75,4076,2,+0.05%,3061,N/A
"09/09/2022 10:03",4076.5,4076.5,4074,4074,-2.25,-0.06%,2324,N/A
"09/09/2022 10:02",4077.75,4077.75,4075,4076.25,-1.25,-0.03%,2170,N/A
"09/09/2022 10:01",4081.5,4081.5,4076.75,4077.5,-3.75,-0.09%,3554,N/A
"09/09/2022 10:00",4079.5,4081.25,4077.75,4081.25,2,+0.05%,2838,N/A
"09/09/2022 09:59",4077.5,4079.75,4077.25,4079.25,1.5,+0.04%,1813,N/A
"09/09/2022 09:58",4077,4078.25,4076.5,4077.75,0.5,+0.01%,1562,N/A
"09/09/2022 09:57",4076.75,4077.75,4075.5,4077.25,0.5,+0.01%,2355,N/A
"09/09/2022 09:56",4076.75,4077.75,4075.75,4076.75,0,0.00%,2016,N/A
"09/09/2022 09:55",4078.5,4079,4076,4076.75,-1.75,-0.04%,1888,N/A
"09/09/2022 09:54",4078.75,4079.5,4077.5,4078.5,-0.25,-0.01%,2120,N/A
"09/09/2022 09:53",4079,4080.25,4078.25,4078.75,-0.25,-0.01%,4412,N/A
"09/09/2022 09:52",4080.75,4080.75,4078.5,4079,-1.75,-0.04%,3218,N/A
"09/09/2022 09:51",4080.75,4082,4080,4080.75,0,0.00%,2034,N/A
"09/09/2022 09:50",4079.75,4081.25,4079.75,4080.75,1,+0.02%,1694,N/A
"09/09/2022 09:49",4078,4080,4078,4079.75,1.75,+0.04%,1940,N/A
"09/09/2022 09:48",4076.25,4078.25,4075.25,4078,1.5,+0.04%,1897,N/A
"09/09/2022 09:47",4079,4079,4075.5,4076.5,-2.25,-0.06%,2323,N/A
"09/09/2022 09:46",4079.75,4081.25,4078.75,4078.75,-1,-0.02%,1516,N/A
"09/09/2022 09:45",4079,4080.25,4079,4079.75,0.75,+0.02%,1811,N/A
"09/09/2022 09:44",4080,4080.75,4077.75,4079,-1,-0.02%,2974,N/A
"09/09/2022 09:43",4079.5,4080.75,4078.75,4080,0.75,+0.02%,2527,N/A
"09/09/2022 09:42",4078.5,4080,4077.75,4079.25,1,+0.02%,3604,N/A
"09/09/2022 09:41",4075.5,4078.75,4075.5,4078.25,2.75,+0.07%,4575,N/A
"09/09/2022 09:40",4074.5,4075.5,4074.5,4075.5,1,+0.02%,1582,N/A
"09/09/2022 09:39",4075,4075,4073.25,4074.5,-0.25,-0.01%,1942,N/A
"09/09/2022 09:38",4074.75,4075.5,4073.5,4074.75,0.25,+0.01%,3062,N/A
"09/09/2022 09:37",4074.75,4075.5,4073.75,4074.5,0,0.00%,2529,N/A
"09/09/2022 09:36",4071.25,4074.75,4070.5,4074.5,3.5,+0.09%,4030,N/A
"09/09/2022 09:35",4073.75,4074.5,4071,4071,-2.75,-0.07%,2720,N/A
"09/09/2022 09:34",4073.5,4074.25,4072,4073.75,0.5,+0.01%,1968,N/A
"09/09/2022 09:33",4072.75,4073.75,4072,4073.25,0.5,+0.01%,2008,N/A
"09/09/2022 09:32",4070.25,4073.25,4070,4072.75,2.25,+0.06%,2411,N/A
"09/09/2022 09:31",4070.5,4071.25,4068.5,4070.5,0,0.00%,3119,N/A
"09/09/2022 09:30",4071.25,4072.75,4069.75,4070.5,-0.5,-0.01%,3087,N/A
"09/09/2022 09:29",4071.5,4071.75,4069.75,4071,-0.5,-0.01%,2330,N/A
"09/09/2022 09:28",4068.5,4071.5,4068.25,4071.5,3,+0.07%,2906,N/A
"09/09/2022 09:27",4067.75,4068.75,4067,4068.5,0.75,+0.02%,1676,N/A
"09/09/2022 09:26",4065.25,4067.75,4063.25,4067.75,2.75,+0.07%,2572,N/A
"09/09/2022 09:25",4065.5,4066.75,4063,4065,-0.25,-0.01%,4181,N/A
"09/09/2022 09:24",4066.5,4067,4064.75,4065.25,-1.25,-0.03%,1872,N/A
"09/09/2022 09:23",4068.5,4068.75,4065.25,4066.5,-2,-0.05%,2535,N/A
"09/09/2022 09:22",4066.5,4069,4064.5,4068.5,2.25,+0.06%,4019,N/A
"09/09/2022 09:21",4069.75,4071,4066,4066.25,-3.5,-0.09%,2870,N/A
"09/09/2022 09:20",4067.75,4070.5,4067.25,4069.75,2,+0.05%,2915,N/A
"09/09/2022 09:19",4067,4068.25,4065.75,4067.75,0.75,+0.02%,2182,N/A
"09/09/2022 09:18",4068.5,4068.5,4064.75,4067,-1.25,-0.03%,5061,N/A
"09/09/2022 09:17",4071.25,4072,4068,4068.25,-2.75,-0.07%,4722,N/A
"09/09/2022 09:16",4071,4075.5,4070.75,4071,0,0.00%,7521,N/A
"09/09/2022 09:15",4067.5,4071.25,4067.25,4071,3.25,+0.08%,3682,N/A
"09/09/2022 09:14",4066.5,4068.5,4065.5,4067.75,1.25,+0.03%,3819,N/A
"09/09/2022 09:13",4067,4068.25,4065.5,4066.5,-0.5,-0.01%,3937,N/A
"09/09/2022 09:12",4068.5,4070,4066,4067,-1.5,-0.04%,4277,N/A
"09/09/2022 09:11",4068,4068.5,4066.25,4068.5,0.5,+0.01%,3991,N/A
